Scenario_ID,DayofYear,Time(hr),O3 (ppb),CO (ppb),NO (ppb),NOx (ppb),CH3OH (ppb),C2H6 (ppb),ETH (ppb),TOL(ppb),XYL (ppb),ALD2 (ppb),AONE (ppb),PAR (ppb),OLET (ppb),Temperature(K),RH,BC (ug/m3),OA (ug/m3),NH4 (ug/m3),NO3 (ug/m3),SO4 (ug/m3),Chi_a,Chi_o,Chi_h
26,148,0,20.9329129,487.7547909,0.876739662,29.26606077,0.379976485,0.999925522,0.472873205,2.225692582,1.787045396,2.299782688,2.092358875,61.14881161,1.33809062,228.391,0.5803,2.738240913,1.886269044,1.496505566,3.252633539,0.008936662,0.760530351,0.831802401,0.645760618
26,148,1,15.96569551,510.8235101,1.096869487,34.05530894,0.443274685,0.999922873,0.497460618,2.602076747,1.970187008,2.472718538,2.357032864,70.24022434,1.461850285,228.391,0.5803,3.125304916,2.154154974,1.569719651,3.476089264,0.011705599,0.748210047,0.826302001,0.627455506
26,148,2,8.856868594,561.5857375,1.89308483,41.57956714,0.524847043,0.999917433,0.549680315,3.170768224,2.319898534,2.695878167,2.699575714,84.96768556,1.721768423,228.391,0.5803,3.808978191,2.625476321,1.685179784,3.79600282,0.014948169,0.729699886,0.82225005,0.599233964
26,148,3,3.32883466,612.210513,4.052421663,49.1761535,0.597265175,0.999916841,0.601888641,3.716801615,2.666260955,2.807055286,3.00544146,99.4250472,1.984729012,228.391,0.5803,4.367789863,3.009691266,1.728988619,3.92692136,0.016840283,0.717645292,0.82137381,0.579693355
26,148,4,0.796032264,659.593684,8.810837288,56.55981542,0.666536978,0.999918939,0.650719461,4.246842581,2.996921522,2.831136288,3.298447956,113.6341332,2.234671125,228.391,0.5803,4.974258484,3.42478141,1.72770562,3.930832994,0.017313516,0.703457696,0.820898452,0.555237757
26,148,5,0.336247442,710.5743931,15.93793712,64.3005763,0.733376989,0.999922125,0.703405625,4.78747385,3.349666184,2.823994643,3.582654078,128.1710543,2.505323186,228.391,0.5803,5.590401505,3.845540637,1.701644933,3.86653463,0.017007105,0.699338208,0.827391098,0.544270735
26,148,6,0.21710509,794.5965214,23.11747658,71.75914308,0.800726531,0.999925326,0.796562855,5.504759969,3.927677321,2.84666844,3.880981817,149.2439651,2.983536506,228.391,0.5803,6.155453088,4.231250701,1.684516939,3.816759203,0.016585725,0.695537476,0.831472448,0.533492589
26,148,7,0.148047177,909.9497741,32.24121004,81.11806053,0.846592495,0.999928402,0.924688559,6.334862003,4.685765811,2.902318575,4.140183933,174.0493868,3.636290062,228.391,0.5803,6.770754698,4.651562886,1.679388913,3.793381649,0.016298744,0.694572598,0.836750636,0.526462805
26,148,8,0.117607096,1011.175222,39.08939485,88.15320533,0.86626299,0.99993135,1.038381855,6.748706595,5.298939872,2.950087287,4.179377073,191.7194011,4.214655167,228.391,0.5803,7.457687317,5.120239933,1.606859346,3.621258709,0.015518318,0.696301484,0.845988272,0.519800657
26,148,9,0.100283461,1048.749002,44.51744445,93.74580154,0.868060408,0.999934183,1.077444013,6.833165674,5.492320811,2.938728136,4.174402467,197.4168106,4.402517205,228.391,0.5803,8.266544039,5.672853383,1.57387753,3.538205807,0.015127683,0.705219989,0.85731822,0.524365678
26,148,10,0.114357386,1004.659044,39.54244982,88.86254119,0.829142713,0.999936885,1.03124436,6.478739847,5.207597146,2.855725151,4.010380967,187.1086057,4.170517031,228.391,0.5803,7.815168391,5.364023937,1.579657844,3.539204423,0.014930403,0.721054159,0.859586997,0.554223019
